Factor_Evidence_Map_ID,Factor_ID,Card_ID,Evidence_ID,Sort_Order,Is_Primary
FEM-0001,CCF-0002,CARD-0005,CEVID-0001,1,YES
FEM-0002,CPF-0002,CARD-0006,CEVID-0002,1,YES
FEM-0003,CTF-0002,CARD-0007,CEVID-0003,1,YES
FEM-0004,CEF-0002,CARD-0008,CEVID-0004,1,YES
FEM-0005,CEF-0002,CARD-0008,CEVID-0005,2,NO
FEM-0006,CCF-0003,CARD-0009,CEVID-0006,1,YES
FEM-0007,CCF-0003,CARD-0009,CEVID-0007,2,NO
FEM-0008,CCF-0003,CARD-0009,CEVID-0008,3,NO
FEM-0009,CCF-0003,CARD-0009,CEVID-0009,4,NO
FEM-0010,CPF-0003,CARD-0010,CEVID-0006,1,YES
FEM-0011,CPF-0003,CARD-0010,CEVID-0010,2,NO
FEM-0012,CPF-0003,CARD-0010,CEVID-0011,3,NO
FEM-0013,CTF-0003,CARD-0011,CEVID-0012,1,YES
FEM-0014,CTF-0003,CARD-0011,CEVID-0013,2,NO
FEM-0015,CTF-0003,CARD-0011,CEVID-0014,3,NO
FEM-0016,CEF-0003,CARD-0012,CEVID-0015,1,YES
FEM-0017,CEF-0003,CARD-0012,CEVID-0016,2,NO
FEM-0018,CCF-0004,CARD-0013,CEVID-0017,1,YES
FEM-0019,CCF-0004,CARD-0013,CEVID-0018,2,NO
FEM-0020,CCF-0004,CARD-0013,CEVID-0019,3,NO
FEM-0021,CPF-0004,CARD-0014,CEVID-0018,1,YES
FEM-0022,CPF-0004,CARD-0014,CEVID-0019,2,NO
FEM-0023,CTF-0004,CARD-0015,CEVID-0018,1,YES
FEM-0024,CTF-0004,CARD-0015,CEVID-0019,2,NO
FEM-0025,CEF-0004,CARD-0016,CEVID-0020,1,YES
FEM-0026,CEF-0004,CARD-0016,CEVID-0021,2,NO
FEM-0027,CEF-0004,CARD-0016,CEVID-0022,3,NO
FEM-0028,CCF-0005,CARD-0017,CEVID-0023,1,YES
FEM-0029,CCF-0005,CARD-0017,CEVID-0024,2,NO
FEM-0030,CCF-0005,CARD-0017,CEVID-0025,3,NO
FEM-0031,CCF-0005,CARD-0017,CEVID-0026,4,NO
FEM-0032,CPF-0005,CARD-0018,CEVID-0027,1,YES
FEM-0033,CPF-0005,CARD-0018,CEVID-0028,2,NO
FEM-0034,CPF-0005,CARD-0018,CEVID-0029,3,NO
FEM-0035,CTF-0005,CARD-0019,CEVID-0028,1,YES
FEM-0036,CTF-0005,CARD-0019,CEVID-0029,2,NO
FEM-0037,CEF-0005,CARD-0020,CEVID-0030,1,YES
FEM-0038,CEF-0005,CARD-0020,CEVID-0029,2,NO
FEM-0039,CEF-0005,CARD-0020,CEVID-0031,3,NO
FEM-0040,CEF-0005,CARD-0020,CEVID-0032,4,NO
FEM-0041,CCF-0006,CARD-0021,CEVID-0033,1,YES
FEM-0042,CCF-0006,CARD-0021,CEVID-0034,2,NO
FEM-0043,CCF-0006,CARD-0021,CEVID-0035,3,NO
FEM-0044,CPF-0006,CARD-0022,CEVID-0036,1,YES
FEM-0045,CPF-0006,CARD-0022,CEVID-0037,2,NO
FEM-0046,CPF-0006,CARD-0022,CEVID-0038,3,NO
FEM-0047,CPF-0006,CARD-0022,CEVID-0039,4,NO
FEM-0048,CTF-0006,CARD-0023,CEVID-0040,1,YES
FEM-0049,CTF-0006,CARD-0023,CEVID-0041,2,NO
FEM-0050,CEF-0006,CARD-0024,CEVID-0042,1,YES
FEM-0051,CEF-0006,CARD-0024,CEVID-0043,2,NO
FEM-0052,CEF-0006,CARD-0024,CEVID-0044,3,NO
FEM-0053,CCF-0007,CARD-0025,CEVID-0045,1,YES
FEM-0054,CPF-0007,CARD-0026,CEVID-0046,1,YES
FEM-0055,CPF-0007,CARD-0026,CEVID-0047,2,NO
FEM-0056,CTF-0007,CARD-0027,CEVID-0048,1,YES
FEM-0057,CTF-0007,CARD-0027,CEVID-0049,2,NO
FEM-0058,CEF-0007,CARD-0028,CEVID-0050,1,YES
FEM-0059,CEF-0007,CARD-0028,CEVID-0051,2,NO
FEM-0060,CEF-0007,CARD-0028,CEVID-0052,3,NO
FEM-0061,CCF-0008,CARD-0029,CEVID-0053,1,YES
FEM-0062,CPF-0008,CARD-0030,CEVID-0054,1,YES
FEM-0063,CTF-0008,CARD-0031,CEVID-0055,1,YES
FEM-0064,CEF-0008,CARD-0032,CEVID-0056,1,YES
FEM-0065,CCF-0009,CARD-0033,CEVID-0057,1,YES
FEM-0066,CCF-0009,CARD-0033,CEVID-0058,2,NO
FEM-0067,CPF-0009,CARD-0034,CEVID-0059,1,YES
FEM-0068,CPF-0009,CARD-0034,CEVID-0060,2,NO
FEM-0069,CPF-0009,CARD-0034,CEVID-0061,3,NO
FEM-0070,CTF-0009,CARD-0035,CEVID-0062,1,YES
FEM-0071,CEF-0009,CARD-0036,CEVID-0063,1,YES
FEM-0072,CCF-0010,CARD-0037,CEVID-0064,1,YES
FEM-0073,CCF-0010,CARD-0037,CEVID-0065,2,NO
FEM-0074,CPF-0010,CARD-0038,CEVID-0066,1,YES
FEM-0075,CPF-0010,CARD-0038,CEVID-0067,2,NO
FEM-0076,CTF-0010,CARD-0039,CEVID-0068,1,YES
FEM-0077,CEF-0010,CARD-0040,CEVID-0069,1,YES
FEM-0078,CPF-0011,CARD-0042,CEVID-0070,1,YES
FEM-0079,CPF-0011,CARD-0042,CEVID-0067,2,NO
FEM-0080,CTF-0011,CARD-0043,CEVID-0071,1,YES
FEM-0081,CEF-0011,CARD-0044,CEVID-0070,1,YES
FEM-0082,CCF-0012,CARD-0045,CEVID-0072,1,YES
FEM-0083,CPF-0012,CARD-0046,CEVID-0073,1,YES
FEM-0084,CPF-0012,CARD-0046,CEVID-0027,2,NO
FEM-0085,CTF-0012,CARD-0047,CEVID-0074,1,YES
FEM-0086,CTF-0012,CARD-0047,CEVID-0075,2,NO
FEM-0087,CEF-0012,CARD-0048,CEVID-0076,1,YES
FEM-0088,CEF-0012,CARD-0048,CEVID-0077,2,NO
FEM-0089,CCF-0013,CARD-0049,CEVID-0078,1,YES
FEM-0090,CPF-0013,CARD-0050,CEVID-0079,1,YES
FEM-0091,CPF-0013,CARD-0050,CEVID-0067,2,NO
FEM-0092,CTF-0013,CARD-0051,CEVID-0080,1,YES
FEM-0093,CTF-0013,CARD-0051,CEVID-0079,2,NO
FEM-0094,CEF-0013,CARD-0052,CEVID-0079,1,YES
FEM-0095,CCF-0014,CARD-0053,CEVID-0081,1,YES
FEM-0096,CPF-0014,CARD-0054,CEVID-0082,1,YES
FEM-0097,CTF-0014,CARD-0055,CEVID-0081,1,YES
FEM-0098,CEF-0014,CARD-0056,CEVID-0081,1,YES
FEM-0099,CCF-0015,CARD-0057,CEVID-0083,1,YES
FEM-0100,CPF-0015,CARD-0058,CEVID-0084,1,YES
FEM-0101,CTF-0015,CARD-0059,CEVID-0085,1,YES
FEM-0102,CEF-0015,CARD-0060,CEVID-0085,1,YES
FEM-0103,CEF-0016,CARD-0064,CEVID-0086,1,YES
FEM-0104,CCF-0017,CARD-0065,CEVID-0087,1,YES
FEM-0105,CPF-0017,CARD-0066,CEVID-0088,1,YES
FEM-0106,CPF-0017,CARD-0066,CEVID-0089,2,NO
FEM-0107,CTF-0017,CARD-0067,CEVID-0090,1,YES
FEM-0108,CEF-0017,CARD-0068,CEVID-0091,1,YES
FEM-0109,CCF-0018,CARD-0069,CEVID-0092,1,YES
FEM-0110,CPF-0018,CARD-0070,CEVID-0093,1,YES
FEM-0111,CPF-0018,CARD-0070,CEVID-0067,2,NO
FEM-0112,CTF-0018,CARD-0071,CEVID-0094,1,YES
FEM-0113,CEF-0018,CARD-0072,CEVID-0093,1,YES
FEM-0114,CPF-0019,CARD-0074,CEVID-0095,1,YES
FEM-0115,CPF-0019,CARD-0074,CEVID-0027,2,NO
FEM-0116,CEF-0019,CARD-0076,CEVID-0096,1,YES
FEM-0117,CCF-0020,CARD-0077,CEVID-0097,1,YES
FEM-0118,CCF-0020,CARD-0077,CEVID-0098,2,NO
FEM-0119,CCF-0020,CARD-0077,CEVID-0099,3,NO
FEM-0120,CPF-0020,CARD-0078,CEVID-0100,1,YES
FEM-0121,CTF-0020,CARD-0079,CEVID-0101,1,YES
FEM-0122,CEF-0020,CARD-0080,CEVID-0101,1,YES
FEM-0123,CEF-0021,CARD-0084,CEVID-0102,1,YES
FEM-0124,CEF-0023,CARD-0092,CEVID-0103,1,YES
FEM-0125,CPF-0024,CARD-0094,CEVID-0104,1,YES
FEM-0126,CPF-0024,CARD-0094,CEVID-0105,2,NO
FEM-0127,CEF-0024,CARD-0096,CEVID-0103,1,YES
FEM-0128,CPF-0025,CARD-0098,CEVID-0102,1,YES
FEM-0129,CTF-0025,CARD-0099,CEVID-0102,1,YES
FEM-0130,CEF-0025,CARD-0100,CEVID-0102,1,YES
FEM-0131,CPF-0026,CARD-0102,CEVID-0106,1,YES
FEM-0132,CTF-0026,CARD-0103,CEVID-0107,1,YES
FEM-0133,CEF-0026,CARD-0104,CEVID-0106,1,YES
FEM-0134,CCF-0027,CARD-0105,CEVID-0108,1,YES
FEM-0135,CCF-0027,CARD-0105,CEVID-0109,2,NO
FEM-0136,CCF-0027,CARD-0105,CEVID-0110,3,NO
FEM-0137,CCF-0027,CARD-0105,CEVID-0111,4,NO
FEM-0138,CPF-0027,CARD-0106,CEVID-0112,1,YES
FEM-0139,CPF-0027,CARD-0106,CEVID-0113,2,NO
FEM-0140,CPF-0027,CARD-0106,CEVID-0114,3,NO
FEM-0141,CPF-0027,CARD-0106,CEVID-0115,4,NO
FEM-0142,CPF-0027,CARD-0106,CEVID-0116,5,NO
FEM-0143,CTF-0027,CARD-0107,CEVID-0103,1,YES
FEM-0144,CEF-0027,CARD-0108,CEVID-0108,1,YES
FEM-0145,CEF-0027,CARD-0108,CEVID-0113,2,NO
FEM-0146,CEF-0027,CARD-0108,CEVID-0117,3,NO
FEM-0147,CEF-0027,CARD-0108,CEVID-0115,4,NO
FEM-0148,CCF-0028,CARD-0109,CEVID-0118,1,YES
FEM-0149,CCF-0028,CARD-0109,CEVID-0119,2,NO
FEM-0150,CCF-0028,CARD-0109,CEVID-0120,3,NO
FEM-0151,CCF-0028,CARD-0109,CEVID-0121,4,NO
FEM-0152,CCF-0028,CARD-0109,CEVID-0122,5,NO
FEM-0153,CPF-0028,CARD-0110,CEVID-0118,1,YES
FEM-0154,CPF-0028,CARD-0110,CEVID-0119,2,NO
FEM-0155,CPF-0028,CARD-0110,CEVID-0123,3,NO
FEM-0156,CPF-0028,CARD-0110,CEVID-0120,4,NO
FEM-0157,CPF-0028,CARD-0110,CEVID-0124,5,NO
FEM-0158,CTF-0028,CARD-0111,CEVID-0125,1,YES
FEM-0159,CEF-0028,CARD-0112,CEVID-0120,1,YES
FEM-0160,CEF-0028,CARD-0112,CEVID-0124,2,NO
FEM-0161,CEF-0028,CARD-0112,CEVID-0126,3,NO
FEM-0162,CTF-0029,CARD-0115,CEVID-0127,1,YES
FEM-0163,CEF-0029,CARD-0116,CEVID-0127,1,YES
FEM-0164,CTF-0030,CARD-0119,CEVID-0128,1,YES
FEM-0165,CEF-0030,CARD-0120,CEVID-0128,1,YES
FEM-0166,CCF-0031,CARD-0121,CEVID-0129,1,YES
FEM-0167,CCF-0031,CARD-0121,CEVID-0130,2,NO
FEM-0168,CEF-0031,CARD-0124,CEVID-0129,1,YES
FEM-0169,CEF-0031,CARD-0124,CEVID-0130,2,NO
FEM-0170,CEF-0032,CARD-0128,CEVID-0131,1,YES
FEM-0171,CEF-0032,CARD-0128,CEVID-0132,2,NO
FEM-0172,CEF-0033,CARD-0132,CEVID-0133,1,YES
FEM-0173,CEF-0034,CARD-0136,CEVID-0133,1,YES
FEM-0174,CEF-0035,CARD-0140,CEVID-0133,1,YES
FEM-0175,CCF-0036,CARD-0141,CEVID-0134,1,YES
FEM-0176,CCF-0036,CARD-0141,CEVID-0135,2,NO
FEM-0177,CCF-0036,CARD-0141,CEVID-0136,3,NO
FEM-0178,CPF-0036,CARD-0142,CEVID-0027,1,YES
FEM-0179,CPF-0036,CARD-0142,CEVID-0134,2,NO
FEM-0180,CTF-0036,CARD-0143,CEVID-0135,1,YES
FEM-0181,CTF-0036,CARD-0143,CEVID-0125,2,NO
FEM-0182,CEF-0036,CARD-0144,CEVID-0135,1,YES
FEM-0183,CEF-0036,CARD-0144,CEVID-0136,2,NO
FEM-0184,CEF-0036,CARD-0144,CEVID-0134,3,NO
FEM-0185,CEF-0037,CARD-0148,CEVID-0133,1,YES
FEM-0186,CPF-0038,CARD-0150,CEVID-0137,1,YES
FEM-0187,CPF-0038,CARD-0150,CEVID-0138,2,NO
FEM-0188,CPF-0038,CARD-0150,CEVID-0139,3,NO
FEM-0189,CPF-0038,CARD-0150,CEVID-0027,4,NO
FEM-0190,CTF-0038,CARD-0151,CEVID-0133,1,YES
FEM-0191,CEF-0038,CARD-0152,CEVID-0137,1,YES
FEM-0192,CCF-0039,CARD-0153,CEVID-0140,1,YES
FEM-0193,CPF-0039,CARD-0154,CEVID-0140,1,YES
FEM-0194,CTF-0039,CARD-0155,CEVID-0140,1,YES
FEM-0195,CEF-0039,CARD-0156,CEVID-0140,1,YES
FEM-0196,CEF-0040,CARD-0160,CEVID-0141,1,YES
FEM-0197,CCF-0041,CARD-0161,CEVID-0142,1,YES
FEM-0198,CCF-0041,CARD-0161,CEVID-0143,2,NO
FEM-0199,CPF-0041,CARD-0162,CEVID-0144,1,YES
FEM-0200,CTF-0041,CARD-0163,CEVID-0144,1,YES
FEM-0201,CEF-0041,CARD-0164,CEVID-0145,1,YES
FEM-0202,CCF-0042,CARD-0165,CEVID-0146,1,YES
FEM-0203,CPF-0042,CARD-0166,CEVID-0147,1,YES
FEM-0204,CTF-0042,CARD-0167,CEVID-0146,1,YES
FEM-0205,CEF-0042,CARD-0168,CEVID-0148,1,YES
FEM-0206,CCF-0043,CARD-0169,CEVID-0149,1,YES
FEM-0207,CCF-0043,CARD-0169,CEVID-0150,2,NO
FEM-0208,CPF-0043,CARD-0170,CEVID-0151,1,YES
FEM-0209,CTF-0043,CARD-0171,CEVID-0150,1,YES
FEM-0210,CEF-0043,CARD-0172,CEVID-0152,1,YES
FEM-0211,CCF-0044,CARD-0173,CEVID-0153,1,YES
FEM-0212,CPF-0044,CARD-0174,CEVID-0154,1,YES
FEM-0213,CPF-0044,CARD-0174,CEVID-0153,2,NO
FEM-0214,CTF-0044,CARD-0175,CEVID-0154,1,YES
FEM-0215,CEF-0044,CARD-0176,CEVID-0153,1,YES
FEM-0216,CCF-0045,CARD-0177,CEVID-0155,1,YES
FEM-0217,CPF-0045,CARD-0178,CEVID-0155,1,YES
FEM-0218,CTF-0045,CARD-0179,CEVID-0156,1,YES
FEM-0219,CEF-0045,CARD-0180,CEVID-0155,1,YES
FEM-0220,CCF-0046,CARD-0181,CEVID-0157,1,YES
FEM-0221,CCF-0046,CARD-0181,CEVID-0158,2,NO
FEM-0222,CPF-0046,CARD-0182,CEVID-0159,1,YES
FEM-0223,CPF-0046,CARD-0182,CEVID-0160,2,NO
FEM-0224,CTF-0046,CARD-0183,CEVID-0160,1,YES
