Map_ID,Initiative_ID,Initiative_Name,Factor_ID,Card_ID,Factor_Bank,Requirement_Set_ID,Calculation_Role,Application_Mode,Selection_Group_ID,Mapping_Status,Mapping_Lifecycle_Status,Mapping_Rationale,Version,Last_Reviewed,Source_Row
MAP-0001,INIT-0001,Adopt a net-zero buildings plan,CCF-0001,CARD-0001,Cost Factors,CRS-0001,EMPTY_SLOT,DISPLAY,SG-INIT-0001,ACTIVE,ACTIVE,Catalog cost value-card slot for Adopt a net-zero buildings plan.,1.0,2026-08-18,2
MAP-0002,INIT-0001,Adopt a net-zero buildings plan,CPF-0001,CARD-0002,Carbon Factors,CRS-0002,EMPTY_SLOT,DISPLAY,SG-INIT-0001,ACTIVE,ACTIVE,Catalog carbon value-card slot for Adopt a net-zero buildings plan.,1.0,2026-08-18,2
MAP-0003,INIT-0001,Adopt a net-zero buildings plan,CTF-0001,CARD-0003,Timing Factors,CRS-0003,EMPTY_SLOT,DISPLAY,SG-INIT-0001,ACTIVE,ACTIVE,Catalog timing value-card slot for Adopt a net-zero buildings plan.,1.0,2026-08-18,2
MAP-0004,INIT-0001,Adopt a net-zero buildings plan,CEF-0001,CARD-0004,Efficiency Factors,CRS-0004,EMPTY_SLOT,DISPLAY,SG-INIT-0001,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Adopt a net-zero buildings plan.,1.0,2026-08-18,2
MAP-0005,INIT-0002,Measure and verify building energy performance,CCF-0002,CARD-0005,Cost Factors,CRS-0005,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0002,ACTIVE,ACTIVE,Catalog cost value-card slot for Measure and verify building energy performance.,1.0,2026-08-18,3
MAP-0006,INIT-0002,Measure and verify building energy performance,CPF-0002,CARD-0006,Carbon Factors,CRS-0006,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0002,ACTIVE,ACTIVE,Catalog carbon value-card slot for Measure and verify building energy performance.,1.0,2026-08-18,3
MAP-0007,INIT-0002,Measure and verify building energy performance,CTF-0002,CARD-0007,Timing Factors,CRS-0007,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0002,ACTIVE,ACTIVE,Catalog timing value-card slot for Measure and verify building energy performance.,1.0,2026-08-18,3
MAP-0008,INIT-0002,Measure and verify building energy performance,CEF-0002,CARD-0008,Efficiency Factors,CRS-0008,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0002,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Measure and verify building energy performance.,1.0,2026-08-18,3
MAP-0009,INIT-0003,Optimise and upgrade HVAC systems and controls,CCF-0003,CARD-0009,Cost Factors,CRS-0009,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0003,ACTIVE,ACTIVE,Catalog cost value-card slot for Optimise and upgrade HVAC systems and controls.,1.0,2026-08-18,4
MAP-0010,INIT-0003,Optimise and upgrade HVAC systems and controls,CPF-0003,CARD-0010,Carbon Factors,CRS-0010,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0003,ACTIVE,ACTIVE,Catalog carbon value-card slot for Optimise and upgrade HVAC systems and controls.,1.0,2026-08-18,4
MAP-0011,INIT-0003,Optimise and upgrade HVAC systems and controls,CTF-0003,CARD-0011,Timing Factors,CRS-0011,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0003,ACTIVE,ACTIVE,Catalog timing value-card slot for Optimise and upgrade HVAC systems and controls.,1.0,2026-08-18,4
MAP-0012,INIT-0003,Optimise and upgrade HVAC systems and controls,CEF-0003,CARD-0012,Efficiency Factors,CRS-0012,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0003,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Optimise and upgrade HVAC systems and controls.,1.0,2026-08-18,4
MAP-0013,INIT-0004,Install smart draught beverage dispense systems,CCF-0004,CARD-0013,Cost Factors,CRS-0013,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0004,ACTIVE,ACTIVE,Catalog cost value-card slot for Install smart draught beverage dispense systems.,1.0,2026-08-18,5
MAP-0014,INIT-0004,Install smart draught beverage dispense systems,CPF-0004,CARD-0014,Carbon Factors,CRS-0014,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0004,ACTIVE,ACTIVE,Catalog carbon value-card slot for Install smart draught beverage dispense systems.,1.0,2026-08-18,5
MAP-0015,INIT-0004,Install smart draught beverage dispense systems,CTF-0004,CARD-0015,Timing Factors,CRS-0015,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0004,ACTIVE,ACTIVE,Catalog timing value-card slot for Install smart draught beverage dispense systems.,1.0,2026-08-18,5
MAP-0016,INIT-0004,Install smart draught beverage dispense systems,CEF-0004,CARD-0016,Efficiency Factors,CRS-0016,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0004,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Install smart draught beverage dispense systems.,1.0,2026-08-18,5
